"","Departamento","year","alumnosMatriculados","analfabetismo","compLectora","docentes","gastoPublico","matematica","pbiRegiones","pobTot","pobUrb","tasaConclusion","tasaDesnutricion","tasaMatricula","deaNaive","deaRobust","ciLow","ciHigh","docAlum","nivelUrb"
"51","Moquegua","2018",11.644,4.58882796747916,4.0676460767362,3173,5744.24102936512,31.3399768505941,23.3580013457697,176196,154631.3,38.5588900075563,2.3,91.7638300346568,1,0.952148938483071,0.921022252932164,1.0094160057559,6.58295093561,87.7609593861382
"52","Pasco","2015",20.176,6.34914662164736,7.62936619641749,5457,4076.07455731769,8.63403252088216,13.860380379422,259341.8,160787.6,44.6896162912644,22.4186604182515,81.3663517674406,0.894424359253947,0.863655160732642,0.851525756043527,0.881501829514466,8.39722,61.9983357869808
"53","Pasco","2016",20.242,6.27637267740403,9.05130833139073,5714,4596,11.5140157017467,14.173997920174,256703.4,160528.3,43.8635715436103,24.7875981635271,81.774734890035,0.884388292575852,0.842827202084817,0.82215747062571,0.868348075576096,8.0665385379576,62.5345437575039
"54","Pasco","2018",20.519,6.27377555111483,8.12508138706295,6066,5760.52877693977,12.6314168576833,14.1958254541973,251426.6,160009.7,44.240762765849,19.3303182480498,85.6100185275712,0.946472915803016,0.925550046868678,0.9189561355102,0.937336651177933,8.55643349412886,63.6407205920137
"55","Piura","2015",122.562,7.61325324105745,27.0180502846975,19750,2867.40051536548,7.64206447224847,50.1782506589218,1820710.2,1422188.6,41.9801523213763,20.3210093035399,82.0983751147084,1,0.921162877963237,0.863735340779097,1.01546194199968,14.20304,78.1117500193057
"56","Piura","2016",127.906,7.88240707601835,24.4158675480326,21571,2724,9.18828003602204,50.3330354554473,1838759.6,1447010.8,41.7967746098097,15.3,80.5459893611501,1,0.89601508600217,0.817269587415835,1.06768913509597,13.0908861477688,78.6949419597864
"57","Piura","2018",134.198,7.97927425501054,30.1529222592827,23283,3279.37482071017,11.4259254823672,52.5981707106249,1874858.4,1496655.2,41.0547606398848,13.1367748713774,83.5641010733823,1,0.934960757572332,0.88616781140674,1.01546183184274,15.0223045359502,79.8276392499828
"58","Provincia de Lima","2015",343.422,2.05546286677411,10.5882109882877,51002,5445.02859395948,14.2948077707787,474.125068817771,8381127.6,8373413.8,49.9965572780381,5.31361662544549,88.1207145618745,0.975924525966438,0.934086899406592,0.911790962494793,0.969035839865866,13.63611,99.9079622651252
"59","Provincia de Lima","2016",352.575,2.06530770532207,9.83278597848197,52412,5940,15.236500995319,487.784926847042,8478050.8,8470599.9,47.3126698329553,4.93729360163227,86.662576560059,0.947562021494286,0.897756706486972,0.870461702921433,0.931482944700965,12.3204988323946,99.9121154121888
"60","Provincia de Lima","2018",360.185,1.76304689275228,11.7760114172519,54847,4384.15860610506,20.1857999151809,518.689536773291,8671897.2,8664972.1,47.4601006396007,4.51728548718754,88.7622077800526,0.984132587538554,0.951086068736748,0.933532004585984,0.975855377657467,15.6217177622017,99.9201431954244
